imageName,bbox,X1,Y1,X2,Y2,image_width,image_height
img_1,Genaxis Theatre,377,117,465,130,1280,720
img_1,[06],493,115,519,131,1280,720
img_1,###,374,155,409,170,1280,720
img_1,62-03,492,151,551,170,1280,720
img_1,Carpark,376,198,422,212,1280,720
img_1,###,494,189,539,206,1280,720
img_1,###,372,0,494,86,1280,720
img_2,EXIT,602,173,635,197,1280,720
img_2,I2R,734,310,792,364,1280,720
img_3,fusionopolis,58,71,194,123,1280,720
img_3,###,147,21,176,36,1280,720
img_3,###,326,75,391,113,1280,720
img_3,###,401,76,448,111,1280,720
img_3,###,780,6,1016,42,1280,720
img_3,fusionopolis,221,72,312,118,1280,720
img_3,###,113,19,144,33,1280,720
img_3,###,257,28,308,57,1280,720
img_3,###,140,115,196,133,1280,720
img_3,###,86,176,112,196,1280,720
img_3,###,101,185,132,204,1280,720
img_3,###,223,150,294,197,1280,720
img_3,###,140,232,176,256,1280,720
img_4,###,692,268,710,293,1280,720
img_4,###,661,224,737,246,1280,720
img_4,###,668,242,737,260,1280,720
img_5,###,405,409,437,461,1280,720
img_5,###,435,434,443,467,1280,720
img_6,###,875,92,910,112,1280,720
img_6,###,748,95,787,109,1280,720
img_6,###,106,394,153,425,1280,720
img_6,###,165,393,213,421,1280,720
img_6,###,705,49,747,64,1280,720
img_6,Reserve,111,459,207,482,1280,720
img_6,###,831,9,894,22,1280,720
img_6,CAUTION,641,454,693,469,1280,720
img_6,###,839,32,891,47,1280,720
img_6,###,788,46,831,59,1280,720
img_6,###,830,95,872,106,1280,720
img_6,###,921,92,952,111,1280,720
img_6,###,968,40,1013,53,1280,720
img_6,###,1002,89,1031,100,1280,720
img_6,###,1043,38,1098,52,1280,720
img_6,###,1069,85,1138,99,1280,720
img_6,###,1128,36,1178,52,1280,720
img_6,###,1168,84,1200,97,1280,720
img_6,###,1219,27,1259,49,1280,720
img_6,###,1264,28,1279,46,1280,720
img_7,###,345,130,401,153,1280,720
img_7,###,301,123,351,158,1280,720
img_7,citi,869,61,923,91,1280,720
img_7,smrt,884,141,934,160,1280,720
img_7,###,634,86,816,121,1280,720
img_7,###,418,112,471,148,1280,720
img_7,###,634,107,783,135,1280,720
img_7,###,634,117,844,155,1280,720
img_7,###,468,117,525,143,1280,720
img_7,###,301,162,532,201,1280,720
img_7,###,296,147,400,174,1280,720
img_7,###,420,136,527,163,1280,720
img_7,###,616,250,657,285,1280,720
img_7,###,695,243,738,278,1280,720
img_7,###,739,241,763,262,1280,720
img_8,WHY,568,347,623,380,1280,720
img_8,PAY,625,345,673,382,1280,720
img_8,FOR,675,350,726,381,1280,720
img_8,NOTHING?,598,381,728,420,1280,720
img_8,###,760,351,845,380,1280,720
img_8,###,562,588,613,633,1280,720
img_8,###,614,593,730,646,1280,720
img_8,###,556,634,730,691,1280,720
img_9,EXIT,342,206,384,228,1280,720
img_9,###,42,183,94,212,1280,720
img_9,STAGE,913,515,1081,595,1280,720
img_9,###,240,291,273,298,1280,720
img_10,###,260,138,284,158,1280,720
img_10,HarbourFront,288,138,417,161,1280,720
img_10,CC22,743,145,780,163,1280,720
img_10,bua,783,129,833,155,1280,720
img_10,###,831,133,874,156,1280,720
img_10,###,159,204,231,219,1280,720
img_10,###,785,158,860,179,1280,720
img_10,###,1011,157,1079,173,1280,720
img_11,###,367,86,433,141,1280,720
img_11,Shops,381,212,434,240,1280,720
img_11,Gen is,386,261,450,287,1280,720
img_11,Theatre,393,286,447,311,1280,720
img_11,Place,446,328,491,360,1280,720
img_11,Nursing,398,368,458,398,1280,720
img_11,Room,459,375,502,398,1280,720
img_11,Fraser,394,325,445,357,1280,720
img_12,###,416,243,477,263,1280,720
img_12,###,420,248,556,276,1280,720
img_12,LIFESTYLE,516,139,595,162,1280,720
img_12,CHOICES,593,145,646,163,1280,720
img_12,THAT,644,148,673,165,1280,720
img_12,FOR,479,136,517,158,1280,720
img_12,COME,672,150,701,166,1280,720
img_12,SHOP,406,176,483,211,1280,720
img_12,###,699,152,714,167,1280,720
img_12,DINE,646,179,683,203,1280,720
img_12,###,711,152,739,170,1280,720
img_12,###,772,179,810,200,1280,720
img_12,###,414,208,488,228,1280,720
img_12,###,413,224,530,244,1280,720
img_12,###,423,267,504,295,1280,720
img_12,###,442,282,513,312,1280,720
img_12,###,461,296,507,316,1280,720
img_12,###,482,310,525,331,1280,720
img_12,###,647,193,752,391,1280,720
img_12,###,773,202,834,325,1280,720
img_12,###,828,173,870,212,1280,720
img_12,###,968,145,1042,211,1280,720
img_12,###,858,198,936,238,1280,720
img_12,###,862,295,905,324,1280,720
img_12,###,860,397,903,426,1280,720
img_12,###,771,381,803,405,1280,720
img_12,###,952,488,992,516,1280,720
img_13,IPAL,1205,148,1279,189,1280,720
img_13,IPAL,1138,371,1196,396,1280,720
img_13,Stude,1200,370,1277,401,1280,720
img_13,###,1211,417,1278,437,1280,720
img_13,###,1148,409,1207,431,1280,720
img_13,###,1156,443,1237,469,1280,720
img_13,###,1245,452,1279,473,1280,720
img_13,###,1142,327,1279,340,1280,720
img_14,$500,909,562,999,630,1280,720
img_14,###,279,222,321,261,1280,720
img_14,$4.00,674,43,701,58,1280,720
img_14,$4.00,786,45,811,60,1280,720
img_14,$4.00,892,46,916,61,1280,720
img_14,###,476,38,536,51,1280,720
img_14,###,477,51,540,62,1280,720
img_14,###,479,60,522,71,1280,720
img_14,###,600,40,635,52,1280,720
img_14,###,600,53,648,62,1280,720
img_14,###,715,41,769,54,1280,720
img_14,###,715,54,778,65,1280,720
img_14,###,824,43,856,55,1280,720
img_14,###,824,56,874,65,1280,720
img_14,Lower,983,677,1022,695,1280,720
img_14,###,1023,675,1037,688,1280,720
img_14,colorie,982,689,1032,709,1280,720
img_14,###,263,210,333,215,1280,720
img_15,DUMPING,43,169,154,206,1280,720
img_15,STRICTLY,46,214,155,246,1280,720
img_15,PROHIBITED,30,254,175,290,1280,720
img_15,###,142,136,160,165,1280,720
img_15,###,34,124,131,163,1280,720
img_16,###,391,73,404,92,1280,720
img_16,###,429,71,458,91,1280,720
img_16,###,491,37,504,56,1280,720
img_16,###,377,101,404,120,1280,720
img_16,STOREY,463,99,547,120,1280,720
img_16,LOBBY,421,37,487,59,1280,720
img_16,###,358,75,364,92,1280,720
img_16,LIFT,371,40,414,60,1280,720
img_16,###,464,71,477,90,1280,720
img_16,###,409,99,437,120,1280,720
img_16,###,438,98,457,112,1280,720
img_16,###,504,70,519,89,1280,720
img_16,###,480,67,497,81,1280,720
img_16,###,406,70,425,83,1280,720
img_16,###,365,71,381,84,1280,720
img_16,###,329,102,355,122,1280,720
img_16,###,355,100,371,113,1280,720
img_17,Clementi,496,49,639,85,1280,720
img_17,###,202,66,215,89,1280,720
img_17,###,243,79,251,107,1280,720
img_18,Service,811,79,858,96,1280,720
img_18,Mall,835,113,868,130,1280,720
img_18,###,524,108,541,122,1280,720
img_18,173,544,107,567,120,1280,720
img_18,166,493,130,518,145,1280,720
img_18,###,498,111,515,125,1280,720
img_18,175,519,127,542,143,1280,720
img_18,285,284,141,314,177,1280,720
img_18,285,542,124,568,141,1280,720
img_18,###,745,67,773,84,1280,720
img_18,Add,748,104,775,120,1280,720
img_18,Value,776,100,814,116,1280,720
img_18,Machine,816,96,873,113,1280,720
img_18,Clementi,775,115,836,137,1280,720
img_18,The,751,123,776,138,1280,720
img_18,Pasenger,747,83,812,103,1280,720
img_18,Toilet,768,138,807,154,1280,720
img_18,BERTH,274,120,308,145,1280,720
img_18,###,470,98,494,109,1280,720
img_18,###,504,97,519,106,1280,720
img_18,###,519,92,553,104,1280,720
img_18,###,584,89,600,98,1280,720
img_18,###,600,87,634,97,1280,720
img_18,###,644,80,669,92,1280,720
img_18,###,475,114,489,126,1280,720
img_18,###,477,134,491,145,1280,720
img_18,###,291,174,310,189,1280,720
img_18,###,277,186,326,211,1280,720
img_18,###,309,131,319,148,1280,720
img_18,###,690,215,721,231,1280,720
img_18,###,755,208,798,234,1280,720
img_18,###,722,212,747,219,1280,720
img_19,###,1,312,149,464,1280,720
img_19,0000,184,262,363,411,1280,720
img_19,who,47,89,276,241,1280,720
img_19,needs,273,142,432,227,1280,720
img_19,nela,421,154,502,226,1280,720
img_20,PULL,393,168,437,187,1280,720
img_20,PULL,249,190,311,215,1280,720
img_20,###,1153,96,1232,696,1280,720
img_21,###,401,172,492,233,1280,720
img_21,###,1064,127,1090,162,1280,720
img_21,THE,1071,155,1103,193,1280,720
img_21,WORLD,1093,130,1163,185,1280,720
img_21,YOU,1130,70,1186,130,1280,720
img_21,BRING,1081,100,1138,154,1280,720
img_21,###,507,141,609,203,1280,720
img_21,###,414,243,499,289,1280,720
img_21,###,529,211,625,264,1280,720
img_21,###,1087,218,1178,299,1280,720
img_21,###,124,478,166,515,1280,720
img_22,Have,164,125,226,156,1280,720
img_22,NUS,170,159,224,189,1280,720
img_22,###,80,130,137,220,1280,720
img_22,Share,78,221,144,252,1280,720
img_22,###,143,218,163,240,1280,720
img_22,wiht,164,209,216,237,1280,720
img_22,###,218,208,245,227,1280,720
img_22,###,244,203,271,222,1280,720
img_23,###,864,388,1116,402,1280,720
img_23,AGSC2015,587,148,690,188,1280,720
img_23,YOUR,691,406,735,425,1280,720
img_23,NOTES,731,403,784,423,1280,720
img_23,TRIALS,988,36,1065,78,1280,720
img_23,BUS,970,68,990,83,1280,720
img_23,###,930,72,969,92,1280,720
img_23,###,947,91,1031,120,1280,720
img_23,###,951,122,992,141,1280,720
img_23,###,970,191,1046,211,1280,720
img_23,###,971,293,1086,316,1280,720
img_23,###,589,166,690,198,1280,720
img_23,rale,693,430,764,440,1280,720
img_23,###,861,378,921,388,1280,720
img_23,SELL,657,408,694,427,1280,720
img_23,###,866,405,883,413,1280,720
img_23,###,868,415,969,426,1280,720
img_23,###,873,437,950,446,1280,720
img_23,###,885,444,1054,453,1280,720
img_23,###,886,452,1066,460,1280,720
img_23,###,880,476,910,484,1280,720
img_23,###,885,495,928,504,1280,720
img_23,###,885,502,931,511,1280,720
